Malware,15,12
KeySpy,48,26
virus-chan,5,4
steal-all-files,14,6
ransomware_malware,7,6
python-malware,35,10
malware-educational-purpose-,8,5
KMike,74,37
Python-Trojan,102,42
ransomware,9,3
Infinite-Folder-Virus,22,16
PythonReverseShellBasic,11,7
simple-virus-python,19,10
crypto-clipper,28,5
python-malware,15,14
iobdug_malware_py,11,4
WannaHappy,12,6
PythonMalware,3,2
PyDoor,439,401
parvox,12,10
malware-01,4,3
Malware,8,2
NetWorm,36,17
virus.py,27,12
Yakuza_Malwares_Arsenal,88,74
Python-ransomware,17,7
MirageLink-rat-gui,38,27
keylogger,54,43
Wormy,9,5
python-malware,31,8
PythonVirusStiller,16,6
megaloptera,30,7
PythonMalDev,7,3
Backdoorcreator,20,5
Python-Rootkit,41,22
Basic-Keylogger,10,4
Malware-Sandbox-Simulation-,6,2
Python_KeyLogger_Prototype,12,10
HackerDoomsday,67,24
Python-Malware,109,93
simple-worm,258,181
Chrome_pass_stealer,23,9
shameleon,86,10
Hallucinate,27,5
PythonVirusExamples,3,2
winrar-SFX-0day-exploiter,5,3
virus,11,6
dojo6oct16,20,14
Keylogger,5,3
funny-virus,52,19
MakeMalware_EthicalHacking,35,17
EvilCrow,6,3
pinkcord,270,73
PySilon-malware,749,449
PizzaVirus,15,10
wanna-smile,53,13
Malicious-Debian-Package-Maker,26,13
ScaryMalware,27,11
TheWeirdVirus,19,8
Trojan,19,1
BskyBot,23,13
GonnaCry,474,211
KRYPT0S-Ransomware_POC,218,113
telegram_stealer,9,3
Virus000,13,7
Spyware,50,46
python-malware,9,2
beep,17,12
Python-RAT,43,37
Malware-Examples,85,10
malware-in-python,15,1
AlienWare,6,3
Python-malware-example,10,4
UndetectMalware,5,3
raccoon_clipper,120,3
exo,754,417
PythonMalware,8,7
Python_Malware,22,20
Malware_Python,45,25
Keylogger,7,4
Python-Backdoor,280,176
linux-root-kit,19,1
virus-replicator,16,10
Cerberus,75,9
PY-RAT,31,13
Malware-Series,113,92
1stMalware,14,10
Doomed,31,9
Python-malware-example,10,4
Thesis-MyZombPy,46,43
RansomPy-Covid19,310,209
little-python-malware,6,4
Virus-Python,11,6
